#   N_BLOCK:  ACCEPTANCE:
           1    0.999963
           2    0.999931
           3    0.999904
           4    0.999884
           5    0.999876
           6    0.999855
           7     0.99984
           8     0.99983
           9     0.99982
          10    0.999809
          11    0.999795
          12    0.999788
          13    0.999776
          14    0.999769
          15    0.999759
          16    0.999754
          17    0.999747
          18    0.999738
          19    0.999722
          20    0.999707
