Number_of_throws;	chi2
1;	9.4310000000e+01
2;	9.6210000000e+01
3;	9.2990000000e+01
4;	1.0086000000e+02
5;	7.5570000000e+01
6;	1.0417000000e+02
7;	8.6000000000e+01
8;	9.9980000000e+01
9;	9.4140000000e+01
10;	1.0494000000e+02
11;	9.5070000000e+01
12;	7.0320000000e+01
13;	1.0501000000e+02
14;	1.0556000000e+02
15;	1.0362000000e+02
16;	1.0127000000e+02
17;	8.9050000000e+01
18;	1.3490000000e+02
19;	1.4145000000e+02
20;	8.5690000000e+01
21;	8.1280000000e+01
22;	9.7490000000e+01
23;	9.6660000000e+01
24;	1.2820000000e+02
25;	1.0018000000e+02
26;	1.0919000000e+02
27;	1.0123000000e+02
28;	9.1670000000e+01
29;	9.1670000000e+01
30;	1.1505000000e+02
31;	9.4720000000e+01
32;	1.2496000000e+02
33;	9.2750000000e+01
34;	1.3615000000e+02
35;	9.3230000000e+01
36;	9.8930000000e+01
37;	9.6890000000e+01
38;	9.0580000000e+01
39;	1.0933000000e+02
40;	1.0376000000e+02
41;	8.8940000000e+01
42;	9.2280000000e+01
43;	1.2150000000e+02
44;	1.0083000000e+02
45;	9.7280000000e+01
46;	1.1880000000e+02
47;	1.0088000000e+02
48;	1.5305000000e+02
49;	9.5410000000e+01
50;	1.0216000000e+02
51;	1.2348000000e+02
52;	1.2260000000e+02
53;	9.0750000000e+01
54;	1.0242000000e+02
55;	9.5060000000e+01
56;	1.0525000000e+02
57;	8.3000000000e+01
58;	7.7680000000e+01
59;	1.0456000000e+02
60;	1.2274000000e+02
61;	7.8300000000e+01
62;	8.6620000000e+01
63;	9.0950000000e+01
64;	1.0989000000e+02
65;	1.1301000000e+02
66;	7.9100000000e+01
67;	9.5730000000e+01
68;	1.0595000000e+02
69;	1.0714000000e+02
70;	1.0429000000e+02
71;	1.0456000000e+02
72;	9.9800000000e+01
73;	9.9800000000e+01
74;	8.9720000000e+01
75;	9.7360000000e+01
76;	1.0447000000e+02
77;	1.0959000000e+02
78;	9.8820000000e+01
79;	9.2300000000e+01
80;	1.0800000000e+02
81;	9.4780000000e+01
82;	8.8370000000e+01
83;	8.6960000000e+01
84;	9.2040000000e+01
85;	1.1138000000e+02
86;	1.0519000000e+02
87;	9.8180000000e+01
88;	1.1643000000e+02
89;	9.3800000000e+01
90;	1.3041000000e+02
91;	8.4500000000e+01
92;	1.1415000000e+02
93;	1.0550000000e+02
94;	1.0245000000e+02
95;	9.9390000000e+01
96;	1.0903000000e+02
97;	8.3770000000e+01
98;	9.3090000000e+01
99;	9.2220000000e+01
100;	1.0102000000e+02
