#   N_BLOCK:  ACCEPTANCE:
           1    0.999981
           2    0.999963
           3    0.999932
           4    0.999931
           5    0.999911
           6    0.999898
           7    0.999878
           8    0.999877
           9    0.999868
          10     0.99987
          11     0.99986
          12     0.99985
          13    0.999843
          14    0.999836
          15     0.99983
          16    0.999825
          17    0.999817
          18    0.999816
          19    0.999812
          20    0.999805
          21    0.999802
          22    0.999791
          23    0.999792
          24    0.999784
          25    0.999775
          26    0.999773
          27    0.999768
          28    0.999766
          29    0.999762
          30    0.999758
          31    0.999756
          32    0.999753
          33    0.999749
          34    0.999746
          35    0.999741
          36    0.999737
          37    0.999723
          38    0.999719
          39    0.999714
          40    0.999707
          41    0.999705
          42    0.999703
          43    0.999698
          44    0.999694
          45    0.999686
          46     0.99968
          47     0.99967
          48    0.999662
          49    0.999656
          50    0.999652
          51    0.999648
          52    0.999641
          53    0.999638
          54    0.999633
          55    0.999626
          56    0.999622
          57    0.999619
          58    0.999611
          59    0.999604
          60    0.999597
          61    0.999594
          62    0.999588
          63     0.99958
          64    0.999576
          65    0.999571
          66     0.99957
          67    0.999564
          68    0.999562
          69    0.999557
          70    0.999552
          71    0.999551
          72    0.999545
          73    0.999545
          74    0.999541
          75    0.999539
          76    0.999537
          77    0.999532
          78    0.999527
          79    0.999523
          80     0.99952
          81    0.999516
          82    0.999513
          83    0.999511
          84    0.999506
          85    0.999504
          86    0.999501
          87    0.999498
          88    0.999494
          89    0.999493
          90    0.999489
          91    0.999484
          92    0.999482
          93    0.999478
          94    0.999475
          95    0.999473
          96     0.99947
          97    0.999466
          98    0.999463
          99    0.999459
         100    0.999456
         101    0.999454
         102    0.999451
         103    0.999448
         104    0.999442
         105    0.999439
         106    0.999435
         107    0.999433
         108    0.999431
         109    0.999426
         110    0.999422
         111    0.999418
         112    0.999415
         113     0.99941
         114    0.999406
         115    0.999403
         116    0.999399
         117    0.999394
         118     0.99939
         119    0.999388
         120    0.999384
         121    0.999379
         122    0.999375
         123     0.99937
         124    0.999365
         125    0.999361
         126    0.999356
         127     0.99935
         128    0.999343
         129    0.999339
         130    0.999334
         131    0.999331
         132    0.999327
         133    0.999322
