#   N_BLOCK:  ACCEPTANCE:
           1    0.999963
           2    0.999931
           3    0.999898
           4    0.999875
           5    0.999865
           6    0.999846
           7    0.999832
           8    0.999821
           9     0.99981
          10    0.999799
          11    0.999783
          12    0.999775
          13    0.999765
          14    0.999759
          15    0.999751
          16    0.999747
          17    0.999739
          18    0.999727
          19    0.999709
          20    0.999696
